,name,ms-5-best dual,ms-5-best primal,ms-5-dual iter,ms-5-primal iter,ms-5-iter,prep-5-best dual,prep-5-best primal,prep-5-dual iter,prep-5-primal iter,prep-5-iter,ms-10-best dual,ms-10-best primal,ms-10-dual iter,ms-10-primal iter,ms-10-iter,prep-10-best dual,prep-10-best primal,prep-10-dual iter,prep-10-primal iter,prep-10-iter
38,Spd_RF2_40_71_715.txt,0.67619,3,66,714026,714027,1.105536,2,180973,106274,301462,0.67619,3,66,1427470,1427472,1.105536,2,180973,106274,563924
39,Spd_RF2_40_71_723.txt,0.428571,1,73,736417,736418,0.0,1,-1,157,310172,0.428571,1,73,1474107,1474108,0.0,1,-1,157,615136
40,Spd_RF2_40_81_731.txt,0.0,1,0,10286,708196,0.0,2,-1,9040,328348,0.0,1,0,10286,1417702,0.0,2,-1,9040,684187
41,Spd_RF2_40_81_739.txt,0.053599,3,94203,12442,503745,0.0,3,-1,77,286604,0.068886,2,987739,939432,1009531,0.0,2,-1,462632,569625
42,Spd_RF2_40_81_747.txt,0.35732,3,143090,3294,489727,0.0,3,-1,7600,279366,0.35732,3,143090,3294,979650,0.0,3,-1,7600,560107
43,Spd_RF2_40_81_755.txt,0.175416,2,215913,2123,503465,0.0,2,-1,536,284958,0.175416,2,215913,2123,1007252,0.0,2,-1,536,563567
44,Spd_RF2_40_81_763.txt,0.267742,1,244643,188531,494814,0.269766,1,200965,196897,289810,0.269866,1,867576,188531,990729,0.269766,1,200965,196897,579729
45,Spd_RF2_40_92_771.txt,0.030119,3,60242,6,448966,0.0,3,-1,179280,266230,0.030119,3,60242,6,899266,0.0,3,-1,179280,539373
46,Spd_RF2_40_92_779.txt,0.0,2,0,1202,631508,0.0,2,-1,32,332868,0.0,2,0,1202,1263629,0.0,2,-1,32,664855
47,Spd_RF2_40_92_787.txt,0.183626,3,30719,26545,460611,0.0,3,-1,1169,272360,0.204604,2,795522,689320,923307,0.0,3,-1,1169,543074
48,Spd_RF2_40_92_795.txt,0.0,3,0,17476,461306,0.0,3,-1,250604,270757,0.0,3,0,17476,925243,0.0,3,-1,250604,539144
49,Spd_RF2_40_92_803.txt,0.08557,2,70560,1948,447986,0.0,2,-1,2403,271801,0.08557,2,70560,1948,890423,0.0,2,-1,2403,541712
